drone_id,drone_location,time,date,violation_code,violation_message,image_id,image_file
1,12110 Jana Junction,6:43,15/12/2016,,,,
2,516 Clove Trail,16:21,21/01/2016,,,,
3,0235 Spaight Pass,14:39,26/07/2015,,,,
4,8896 Warrior Circle,8:27,01/08/2015,,,,
5,07 2nd Park,7:08,02/05/2019,,,,
6,390 Merry Street,4:46,12/06/2017,,,,
7,205 Milwaukee Pass,6:28,21/02/2019,,,,
8,8295 Lerdahl Crossing,18:20,25/11/2016,BRK,broken_component,0.0,http://dummyimage.com/171x203.jpg/ff4444/ffffff
9,327 Mosinee Park,7:58,03/12/2019,,,,
10,19 Gerald Park,11:11,10/06/2019,,,,
11,3 Northwestern Circle,13:52,20/12/2016,,,,
12,18221 Del Sol Lane,6:30,22/10/2018,,,,
13,4218 Duke Junction,13:22,30/01/2020,,,,
14,2201 Lillian Pass,7:03,27/10/2016,BRK,broken_component,1.0,http://dummyimage.com/247x219.jpg/dddddd/000000
15,608 Mendota Lane,11:48,28/06/2019,,,,
16,41 Bellgrove Pass,21:31,20/08/2015,,,,
17,16 Old Shore Parkway,7:36,28/12/2015,,,,
18,7 Nova Hill,20:39,13/05/2016,,,,
19,642 Hermina Alley,21:15,25/06/2019,,,,
20,1 Hoepker Place,17:09,24/12/2019,,,,
21,441 Center Pass,5:31,18/04/2015,,,,
22,2825 Northport Junction,17:01,25/11/2016,,,,
23,5813 Rutledge Way,20:43,11/06/2018,,,,
24,21445 Eggendart Street,12:33,27/06/2017,,,,
25,60190 Kinsman Crossing,8:39,05/02/2015,,,,
26,402 Union Way,11:32,15/07/2017,,,,
27,68 Nancy Junction,14:04,14/06/2017,,,,
28,62 Leroy Avenue,7:59,22/04/2019,,,,
29,4 Thierer Street,8:39,06/06/2017,,,,
30,0600 Westerfield Point,11:48,09/01/2016,,,,
31,3 Graedel Pass,4:59,11/03/2020,PRK,bad_parking,0.0,http://dummyimage.com/158x221.jpg/ff4444/ffffff
32,3508 Comanche Trail,4:07,13/01/2018,,,,
33,4799 Loeprich Terrace,14:38,19/02/2018,PRK,bad_parking,1.0,http://dummyimage.com/206x208.jpg/ff4444/ffffff
34,9 Lien Plaza,22:33,07/07/2019,,,,
35,5706 Donald Plaza,6:04,25/11/2017,BRK,broken_component,1.0,http://dummyimage.com/194x150.jpg/dddddd/000000
36,12 Bay Way,17:58,03/03/2020,,,,
37,4378 Barnett Court,12:07,07/12/2018,,,,
38,07101 Comanche Road,15:26,06/10/2016,PRK,bad_parking,0.0,http://dummyimage.com/191x217.jpg/dddddd/000000
39,996 Milwaukee Junction,12:50,22/12/2016,,,,
40,0010 Burrows Plaza,15:04,19/10/2019,,,,
41,288 Green Ridge Plaza,3:46,03/07/2015,,,,
42,1 Riverside Terrace,9:50,25/10/2015,,,,
43,05 Cambridge Place,2:51,26/12/2018,,,,
44,5431 Forster Park,3:35,05/02/2018,,,,
45,99723 Oak Circle,14:26,01/03/2015,,,,
46,53246 Haas Terrace,7:58,10/09/2016,,,,
47,08286 Morning Street,19:05,18/11/2016,,,,
48,471 Amoth Center,20:49,08/11/2018,,,,
49,50 Quincy Place,8:44,14/07/2019,,,,
50,418 Delaware Way,9:20,22/08/2019,,,,
51,0981 Manufacturers Road,7:47,23/04/2016,,,,
52,00 Bobwhite Parkway,12:52,24/11/2016,,,,
53,95 Texas Parkway,4:30,04/06/2019,,,,
54,71 Brown Circle,10:46,16/10/2018,,,,
55,660 Tony Crossing,20:36,15/05/2019,,,,
56,6149 Lien Drive,7:11,28/02/2018,,,,
57,55 Badeau Terrace,8:42,03/10/2017,,,,
58,36 Emmet Alley,11:55,02/01/2017,,,,
59,7 Lyons Place,17:35,03/12/2018,PRK,bad_parking,0.0,http://dummyimage.com/125x219.jpg/ff4444/ffffff
60,5578 Lien Avenue,3:49,01/02/2015,,,,
61,19 Hanson Drive,23:45,21/11/2017,,,,
62,696 Iowa Trail,3:59,25/03/2018,,,,
63,374 High Crossing Lane,21:03,26/03/2019,PRK,bad_parking,0.0,http://dummyimage.com/207x115.jpg/cc0000/ffffff
64,95794 Roth Circle,9:32,23/07/2016,,,,
65,1622 Quincy Terrace,17:16,29/09/2016,,,,
66,05 Walton Terrace,2:38,30/10/2016,PRK,bad_parking,0.0,http://dummyimage.com/229x103.jpg/dddddd/000000
67,07504 Dayton Point,19:34,24/09/2017,PRK,bad_parking,0.0,http://dummyimage.com/200x108.jpg/cc0000/ffffff
68,62 Loeprich Crossing,18:18,24/05/2015,,,,
69,39 Memorial Place,2:53,29/05/2016,,,,
70,3 Helena Alley,19:56,29/05/2017,,,,
71,704 Gulseth Lane,4:45,26/02/2018,,,,
72,2702 Surrey Terrace,22:57,12/04/2016,,,,
73,7531 Garrison Avenue,9:23,14/12/2019,,,,
74,80265 Sundown Alley,8:27,13/01/2019,BRK,broken_component,0.0,http://dummyimage.com/203x201.jpg/5fa2dd/ffffff
75,21 Huxley Parkway,3:13,05/02/2018,PRK,bad_parking,1.0,http://dummyimage.com/209x118.jpg/5fa2dd/ffffff
76,827 Ridgeway Point,4:13,13/02/2020,,,,
77,9 Autumn Leaf Crossing,4:03,17/11/2019,,,,
78,02 Hauk Drive,8:45,18/09/2019,,,,
79,5649 Dayton Way,12:31,12/02/2017,,,,
80,6 Rutledge Way,8:21,25/04/2019,,,,
81,67779 Manley Pass,18:26,15/11/2017,,,,
82,4889 Nancy Pass,11:49,30/08/2017,,,,
83,14 Mcbride Center,23:53,03/09/2019,,,,
84,70729 Logan Park,17:02,16/05/2019,,,,
85,53035 Pearson Junction,0:51,24/12/2018,BRK,broken_component,0.0,http://dummyimage.com/234x234.jpg/ff4444/ffffff
86,74 Elgar Terrace,13:50,02/11/2019,,,,
87,95050 Atwood Pass,7:03,13/04/2015,,,,
88,9 Di Loreto Trail,21:50,29/03/2018,,,,
89,2 Oneill Parkway,23:15,30/03/2020,,,,
90,2 Oakridge Junction,20:20,13/12/2016,,,,
91,6 Pine View Trail,13:37,28/03/2017,,,,
92,59054 Utah Plaza,23:53,04/02/2020,,,,
93,69546 Pierstorff Park,9:50,20/01/2019,BRK,broken_component,1.0,http://dummyimage.com/125x215.jpg/5fa2dd/ffffff
94,05 Mandrake Court,20:53,10/08/2015,,,,
95,93067 Hoffman Road,5:37,14/12/2018,,,,
96,393 Hanson Lane,3:47,24/06/2017,,,,
97,594 Larry Terrace,1:54,02/03/2015,,,,
98,54 Bluejay Trail,8:40,08/03/2016,,,,
99,725 Marcy Point,0:38,05/03/2020,,,,
100,18182 Green Ridge Court,13:20,06/12/2018,,,,
101,26 Forest Run Trail,4:43,28/12/2017,PRK,bad_parking,0.0,http://dummyimage.com/210x120.jpg/dddddd/000000
102,578 La Follette Park,9:43,24/11/2015,,,,
103,576 Fairview Center,3:58,26/03/2019,PRK,bad_parking,0.0,http://dummyimage.com/119x144.jpg/dddddd/000000
104,5 4th Way,20:04,04/11/2018,,,,
105,2 Mosinee Point,20:49,18/04/2016,,,,
106,6 Dayton Crossing,11:55,18/10/2015,,,,
107,846 Gale Lane,2:31,28/02/2020,PRK,bad_parking,1.0,http://dummyimage.com/144x181.jpg/5fa2dd/ffffff
108,18782 Cody Way,23:24,19/01/2017,BRK,broken_component,0.0,http://dummyimage.com/237x118.jpg/cc0000/ffffff
109,48 Lerdahl Drive,10:32,19/04/2016,,,,
110,0 Bay Road,16:26,11/10/2019,,,,
111,61718 Moulton Point,5:20,28/06/2016,,,,
112,441 Golf Course Alley,17:15,03/05/2018,,,,
113,39594 Meadow Vale Center,22:40,24/01/2020,,,,
114,230 Ridgeway Junction,10:50,10/12/2017,,,,
115,71823 Melody Street,12:29,08/10/2018,,,,
116,376 Lukken Way,5:33,12/08/2018,,,,
117,8 Tennessee Court,18:09,09/01/2015,,,,
118,89 Red Cloud Junction,13:42,18/09/2016,,,,
119,0 Lillian Junction,18:06,15/04/2020,,,,
120,86072 Veith Circle,15:43,09/10/2017,,,,
121,565 Artisan Crossing,8:49,02/07/2016,,,,
122,11 Village Parkway,7:59,12/06/2016,,,,
123,12476 Porter Crossing,20:58,04/07/2016,PRK,bad_parking,1.0,http://dummyimage.com/122x155.jpg/ff4444/ffffff
124,6 Buhler Crossing,21:26,20/09/2017,,,,
125,31216 Green Ridge Park,13:39,27/07/2015,,,,
126,8 Jenna Point,7:01,28/06/2019,,,,
127,9636 Warner Plaza,14:32,15/07/2017,,,,
128,2137 Birchwood Junction,2:09,25/05/2015,,,,
129,191 Maryland Circle,16:21,30/04/2015,BRK,broken_component,1.0,http://dummyimage.com/242x164.jpg/5fa2dd/ffffff
130,17409 Goodland Plaza,12:48,29/06/2018,BRK,broken_component,0.0,http://dummyimage.com/135x190.jpg/cc0000/ffffff
131,3 Gulseth Parkway,11:30,29/12/2016,BRK,broken_component,1.0,http://dummyimage.com/166x226.jpg/5fa2dd/ffffff
132,6 Erie Crossing,9:50,08/06/2019,,,,
133,739 Montana Hill,15:26,08/08/2018,,,,
134,2 Arkansas Pass,16:46,27/10/2019,,,,
135,80 Victoria Road,20:46,21/10/2019,,,,
136,2 Loftsgordon Junction,4:01,09/04/2016,,,,
137,204 Crescent Oaks Court,6:12,27/06/2018,,,,
138,450 Kedzie Park,20:05,30/05/2015,,,,
139,1 Kropf Trail,3:30,19/10/2016,,,,
140,845 Loeprich Lane,8:19,13/09/2017,,,,
141,991 Linden Pass,3:28,18/02/2017,,,,
142,1764 Meadow Ridge Parkway,5:55,30/12/2016,BRK,broken_component,0.0,http://dummyimage.com/107x122.jpg/5fa2dd/ffffff
143,1969 Troy Junction,6:58,30/10/2018,,,,
144,50 Loomis Road,0:09,02/07/2016,BRK,broken_component,0.0,http://dummyimage.com/214x221.jpg/dddddd/000000
145,8346 Oneill Center,4:22,29/03/2015,,,,
146,34961 Miller Avenue,12:15,21/12/2018,,,,
147,0923 Bartelt Drive,8:24,03/11/2019,,,,
148,557 Anhalt Way,22:24,09/01/2017,,,,
149,763 Quincy Crossing,0:58,13/03/2020,,,,
150,30630 Kensington Plaza,8:15,11/01/2017,,,,
151,28 Sommers Drive,11:19,08/12/2015,,,,
152,549 Macpherson Trail,8:30,11/04/2016,,,,
153,55123 Swallow Avenue,7:25,12/04/2020,BRK,broken_component,0.0,http://dummyimage.com/195x216.jpg/cc0000/ffffff
154,0911 Swallow Park,16:34,02/12/2016,,,,
155,5540 Dixon Junction,22:19,09/04/2015,,,,
156,706 Vera Park,6:50,12/07/2016,,,,
157,930 Swallow Lane,23:35,14/01/2016,PRK,bad_parking,1.0,http://dummyimage.com/198x118.jpg/dddddd/000000
158,676 Union Point,17:55,16/03/2019,,,,
159,67477 Victoria Road,14:16,30/06/2016,PRK,bad_parking,0.0,http://dummyimage.com/174x156.jpg/cc0000/ffffff
160,09642 Mifflin Drive,12:43,06/01/2016,,,,
161,5 Kenwood Junction,7:24,01/06/2015,UKN,unknown,0.0,http://dummyimage.com/182x112.jpg/dddddd/000000
162,8653 Hansons Pass,20:27,28/02/2017,,,,
163,3056 Fordem Alley,5:49,12/04/2015,,,,
164,02484 Daystar Avenue,16:45,12/10/2017,PRK,bad_parking,0.0,http://dummyimage.com/110x197.jpg/cc0000/ffffff
165,67864 Utah Hill,15:44,07/03/2017,,,,
